category,company,n_reviews,median_stars,media_stars,std_stars
Business Services,crunch.co.uk,100,3,3,1.421338109
Business Services,eposnow.com,100,3,3,1.421338109
Business Services,fastlec.co.uk,100,3,3,1.421338109
Business Services,instantprint.co.uk,100,3,3,1.421338109
Business Services,moonpig.com,100,3,3,1.421338109
Business Services,rapidformations.co.uk,100,3,3,1.421338109
Beauty & Well-being,www.physioroom.com,100,3,3,1.421338109
Beauty & Well-being,www.perfume-click.co.uk,100,3,3,1.421338109
Beauty & Well-being,www.lookfantastic.com,100,3,3,1.421338109
Beauty & Well-being,www.holisticshop.co.uk,100,3,3,1.421338109
Beauty & Well-being,www.cultbeauty.co.uk,100,3,3,1.421338109
Beauty & Well-being,www.beautybay.com,100,3,3,1.421338109
Beauty & Well-being,trysuri.com,100,3,3,1.421338109
Beauty & Well-being,therapieclinic.com,100,3,3,1.421338109
Beauty & Well-being,stylevana.com,100,3,3,1.421338109
Beauty & Well-being,refybeauty.com,100,3,3,1.421338109
Beauty & Well-being,nutritiongeeks.co,100,3,3,1.421338109
Beauty & Well-being,myjuniper.co.uk,100,3,3,1.421338109
Beauty & Well-being,misfits.health,100,3,3,1.421338109
Beauty & Well-being,glistencosmetics.com,100,3,3,1.421338109
Beauty & Well-being,glaize.co,100,3,3,1.421338109
Beauty & Well-being,allbeauty.com,100,3,3,1.421338109
Animals & Pets,www.petsathome.com,100,3,3,1.421338109
Business Services,skrill.com,100,3,3,1.421338109
Business Services,ukfuels.co.uk,100,3,3,1.421338109
Construction & Manufacturing,www.ffx.co.uk,100,3,3,1.421338109
Construction & Manufacturing,kane.co.uk,100,3,3,1.421338109
Construction & Manufacturing,craigmoreonline.co.uk,100,3,3,1.421338109
Construction & Manufacturing,denbypottery.com,100,3,3,1.421338109
Construction & Manufacturing,dvspowertools.co.uk,100,3,3,1.421338109
Construction & Manufacturing,eurocell.co.uk,100,3,3,1.421338109
Construction & Manufacturing,fastfix.co.uk,100,3,3,1.421338109
Construction & Manufacturing,harveywatersofteners.co.uk,100,3,3,1.421338109
Construction & Manufacturing,mdfdirect.co.uk,100,3,3,1.421338109
Business Services,www.allstarcard.co.uk,100,3,3,1.421338109
Construction & Manufacturing,rutlands.com,100,3,3,1.421338109
Construction & Manufacturing,uk.ryobitools.eu,100,3,3,1.421338109
Construction & Manufacturing,ukbuildsupplies.com,100,3,3,1.421338109
Construction & Manufacturing,www.avanthomes.co.uk,100,3,3,1.421338109
Construction & Manufacturing,www.cromwell.co.uk,100,3,3,1.421338109
Construction & Manufacturing,www.dortechdirect.co.uk,100,3,3,1.421338109
Construction & Manufacturing,cloudy2clearwindows.co.uk,100,3,3,1.421338109
Construction & Manufacturing,axminstertools.com,100,3,3,1.421338109
Construction & Manufacturing,ariston.com,100,3,3,1.421338109
Construction & Manufacturing,anchorpumps.com,100,3,3,1.421338109
Business Services,yougov.com,100,3,3,1.421338109
Business Services,ylive-community.com,100,3,3,1.421338109
Business Services,www.xero.com,100,3,3,1.421338109
Business Services,www.valuedopinions.co.uk,100,3,3,1.421338109
Business Services,www.totaljobs.com,100,3,3,1.421338109
Business Services,www.thortful.com,100,3,3,1.421338109
Business Services,www.takepayments.com,100,3,3,1.421338109
Business Services,www.stinkyinkshop.co.uk,100,3,3,1.421338109
Business Services,www.solopress.com,100,3,3,1.421338109
Business Services,www.ordnancesurvey.co.uk,100,3,3,1.421338109
Business Services,www.energizedcustoms.co.uk,100,3,3,1.421338109
Business Services,www.clearpay.co.uk,100,3,3,1.421338109
Business Services,www.cartridgesave.co.uk,100,3,3,1.421338109
Events & Entertainment,www.altontowers.com,100,3,3,1.421338109
Events & Entertainment,www.atgtickets.com,100,3,3,1.421338109
Events & Entertainment,www.attractiontickets.com,100,3,3,1.421338109
Home & Garden,www.procook.co.uk,100,3,3,1.421338109
Home & Garden,www.homebase.co.uk,100,3,3,1.421338109
Home & Garden,www.jacksons-fencing.co.uk,100,3,3,1.421338109
Home & Garden,www.lakeland.co.uk,100,3,3,1.421338109
Home & Garden,www.oakfurnitureland.co.uk,100,3,3,1.421338109
Home & Garden,www.plumbworld.co.uk,100,3,3,1.421338109
Home & Garden,www.primrose.co.uk,100,3,3,1.421338109
Home & Garden,www.rugvista.com,100,3,3,1.421338109
Home & Garden,www.wrenkitchens.com,100,3,3,1.421338109
Home & Garden,www.sarahraven.com,100,3,3,1.421338109
Home & Garden,www.stovefitterswarehouse.co.uk,100,3,3,1.421338109
Home & Garden,www.ukchristmasworld.com,100,3,3,1.421338109
Home & Garden,www.valuedoors.co.uk,100,3,3,1.421338109
Home & Garden,www.victorianplumbing.co.uk,100,3,3,1.421338109
Home & Garden,www.wickes.co.uk,100,3,3,1.421338109
Home & Garden,www.go-electrical.co.uk,100,3,3,1.421338109
Home & Garden,www.gardensite.co.uk,100,3,3,1.421338109
Home & Garden,www.firsttunnels.co.uk,100,3,3,1.421338109
Home & Garden,www.elbecgardenbuildings.co.uk,100,3,3,1.421338109
Home & Garden,www.dunsterhouse.co.uk,100,3,3,1.421338109
Home & Garden,www.dunelm.com,100,3,3,1.421338109
Home & Garden,www.bloomandwild.com,100,3,3,1.421338109
Home & Garden,www.bedeckhome.com,100,3,3,1.421338109
Home & Garden,www.balsamhill.co.uk,100,3,3,1.421338109
Home & Garden,www.avsfencing.co.uk,100,3,3,1.421338109
Home & Garden,werchristmas.co.uk,100,3,3,1.421338109
Home & Garden,thebasketcompany.com,100,3,3,1.421338109
Home & Garden,tapi.co.uk,100,3,3,1.421338109
